gene,mean_parental,mean_resistant,log2FC,p_value,padj,n_parental,n_resistant
Gldc,7.453413806597573,6.155461952146841,-1.2979518544507318,6.309677985380255e-07,0.0003997617971442418,9,9
Cystm1,9.438094133094502,8.134098110387136,-1.3039960227073664,6.843587310846762e-07,0.00040990112519228254,9,9
Inava,6.358439299919585,5.5834379698189895,-0.7750013301005954,7.829644538691575e-07,0.0004494215965208964,9,9
Lss,7.399338471450903,5.934329297609031,-1.4650091738418727,8.450898320852159e-07,0.00046567830107223737,9,9
Hip1r,6.370878711304584,5.282824170019516,-1.088054541285068,9.535828262445046e-07,0.000505252192859396,9,9
BC039966,0.46272832593076063,1.3217994648166431,0.8590711388858825,1.018753570020101e-06,0.000517944842324136,9,9
Golt1a,1.2889526514046572,0.331215534197278,-0.9577371172073792,1.052733419358e-06,0.000517944842324136,9,9
Qdpr,5.247300706004489,4.621538152065202,-0.6257625539392864,1.110819695604922e-06,0.0005237979043331823,9,9
Ephx2,5.416480521907772,3.505266105655342,-1.91121441625243,1.1406748787743517e-06,0.0005237979043331823,9,9
Gipc2,6.985131250505256,5.309232006820462,-1.6758992436847935,1.3872646313908176e-06,0.0005972174238137469,9,9
Hmx2,0.6976712750983896,2.354553786262957,1.6568825111645675,1.3799047474362223e-06,0.0005972174238137469,9,9
Sall3,1.8360348750109685,0.10765907191982099,-1.7283758030911476,1.4461197562818766e-06,0.0006036892655314888,9,9
Frat2,5.28417241395229,4.101136018678992,-1.183036395273298,1.5811878204552733e-06,0.000640660100429172,9,9
Sema4a,6.392518669085043,4.304384796212457,-2.0881338728725867,1.7723439452166139e-06,0.0006975945768372592,9,9
Mfsd4a,5.355682760461768,3.9476151042959637,-1.4080676561658043,1.9377301259084725e-06,0.0007415047281809755,9,9
Akr1c12,6.477578432270087,4.5468884656712705,-1.9306899665988162,2.1120766901776935e-06,0.000786377526591565,9,9
Camk2n2,3.03367813080516,4.120760921140136,1.0870827903349762,2.2063529924532e-06,0.000799861021685139,9,9
C730027H18Rik,2.2814166006208825,0.36646125499777743,-1.914955345623105,2.3180533950074216e-06,0.0008031713481278685,9,9
Fgf1,6.17551547026017,3.3615885025701076,-2.8139269676900627,2.390390917047228e-06,0.0008031713481278685,9,9
Mosmo,3.8841905794260705,4.466683382100751,0.5824928026746803,2.3801384836823086e-06,0.0008031713481278685,9,9
Ifngr1,7.525738136032449,6.091554776671342,-1.434183359361107,2.7446241458270385e-06,0.000855435908258053,9,9
Cryl1,4.921945649139759,3.1068589891670917,-1.8150866599726672,2.794324613212281e-06,0.000855435908258053,9,9
Mapk11,3.694481826137234,4.470648245450942,0.7761664193137081,2.7844658105748894e-06,0.000855435908258053,9,9
Adamts4,0.9683635967852388,2.1747392960925946,1.206375699307356,2.6278984870532305e-06,0.000855435908258053,9,9
Pkhd1,3.775198629888129,2.2706821386320954,-1.5045164912560334,2.922442734463542e-06,0.0008752080676080381,9,9
Nkain4,2.5218239406375234,0.4378917344900464,-2.0839322061474768,3.011563993235228e-06,0.0008827086291661383,9,9
Ugt2b35,3.5427572450251392,0.5384647581582296,-3.00429248686691,3.0910543744342363e-06,0.0008871326054626259,9,9
Ino80b,4.713245028342104,5.257335370361982,0.5440903420198779,3.221574803843918e-06,0.0009057227448521185,9,9
Palmd,4.727099768340632,3.049030704804599,-1.6780690635360331,3.295547763817147e-06,0.0009079893198869003,9,9
Gm9926,4.389342998092426,2.332397521943123,-2.0569454761493025,3.4479769159431043e-06,0.0009256209357474158,9,9
Pear1,7.563442715104156,6.62465126102725,-0.938791454076906,3.5305822792557615e-06,0.0009256209357474158,9,9
Aim2,1.9495659862015284,4.028866608364095,2.0793006221625667,3.6283050617276755e-06,0.0009256209357474158,9,9
Sptssb,5.932247988676299,2.148321091406082,-3.7839268972702174,3.616961555926085e-06,0.0009256209357474158,9,9
Brsk1,0.31003835310395655,2.8003506726847265,2.49031231958077,4.3797465057890495e-06,0.0010970070520681808,9,9
Calr3,3.851045481317592,2.6275711962752872,-1.2234742850423048,4.505128260122949e-06,0.0011082615519902455,9,9
Nlrc4,4.01229354134092,1.8073867258956742,-2.204906815445246,4.705529097346424e-06,0.001117644290431799,9,9
Ugt2b36,2.752720539562202,0.20102980707894355,-2.5516907324832587,4.701247424157626e-06,0.001117644290431799,9,9
Pik3ap1,4.340458614093758,2.236505579232686,-2.103953034861072,4.846091878228712e-06,0.0011315213849911652,9,9
Akr1c13,6.868980287535049,5.0531029500369895,-1.8158773374980592,5.136442258763141e-06,0.0011464728852092934,9,9
