gene,jq1_log2FC,reversed
GADD45G,0.8495301807431219,1
AOX1,-1.8223162887580258,0
TM4SF1-AS1,-1.197423485906917,0
PCNXL2,-2.494812194692162,0
NTN4,-1.0793166258179436,0
PLOD2,0.3966578159139935,1
EPS8L1,-1.5049100350783604,0
ZNF488,0.39820811784194987,1
THSD4,-0.7229790223513888,0
PKHD1L1,-0.33344179002054347,0
OTUB2,-1.4365249612560582,0
OBFC1,0.03138784430910846,1
ZNF469,-2.464612732831091,0
ANKRD20A5P,-1.6674224243536822,0
C11orf91,-0.44195685115959593,0
ST3GAL5,-1.41725748063212,0
KDR,0.42103042213194386,1
LRRC34,-1.1887374502537542,0
LPAR1,-4.246708564765868,0
STARD13,-0.1369854163174944,0
GLIS3,0.28663472156169867,1
CALD1,-0.9942117255230585,0
SCARA5,-2.346031904841973,0
GALNT2,0.19303796337207757,1
ARMCX2,-0.1956108956000589,0
IFT46,-0.47669648586629343,0
CDCP1,-1.1354890632246377,0
BZW2,-0.01765437650639967,0
LIN7A,-0.3333914120996681,0
TSPAN6,-0.6363105613977336,0
ZNF804A,-1.1462234966445317,0
RHCG,-0.9181469341538708,0
TRIB1,-0.962902584940811,0
DISC1,-0.9248491404403602,0
AFAP1L1,-0.3460612287330047,0
POLR3GL,0.4081645995255698,1
PPARGC1A,-0.6672516793776264,0
PDGFRB,-1.0293466305282228,0
FOXL2,-0.2674843332890875,0
ACSS3,0.0,0
GLIPR1,-3.889962896420927,0
ITPR3,-1.4715574641281286,0
SERPINB9P1,0.7396235623835457,1
ZNF365,-1.233395958047054,0
DEPTOR,-0.9979820646285624,0
SETBP1,-0.012704333586377126,0
AIM1,-1.0283722043952235,0
ARPIN,-0.681504072808421,0
NABP1,0.938199480991929,1
WDFY2,-0.32239697506165665,0
FOXD1,0.5456966226942637,1
MB,-3.9346044036782493,0
IL17RE,-0.9640926801675573,0
GTF3C6,-1.6989347423973804,0
TNFRSF19,0.5051393296632107,1
MME,-1.6028729824055776,0
C16orf52,-0.7229366426702093,0
